feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179,feature_180,feature_181,feature_182,id,label
0.3,0.05,0.1,0.2,0.1,0.05,7.8,4.6,4.15,5.65,2.35,2,3.9,2.5,2.55,1,0.85,0.75,13.45,6.95,6.15,8.65,5.525,5.5,15.43776807,9.568461738,8.535549403,45.03173575,39.50050694,42.3901834,0.2,0,0.1,0,0.1,0,3.1,2.5,4.7,2.6,1.8,1.6,1.9,1.5,1.8,0.3,0.7,0.4,5.7,4.3,6.3,3.3,2.85,4.2,6.055927793,5.428957868,7.918782875,38.06207094,40.56881313,45.36967419,0.2,0,0,0,0,0,0.8,3.8,4.8,3,0.8,0,1.6,1.6,1,0,1,0.4,3.8,4.6,4.8,3.4,2.2,1.3,4.73429091,5.208295583,4.94172789,33.256917,44.80851064,46.73374613,0,0,0,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,15,0,0,14,0,0,19.3216954,0,0,47.05882353,40,43.75,20,87,90,88.26666667,36,95,64.51515152,17,95,61.45398773,17,99,68.96421846,0.6594,0.378848485,0.813687117,1.377949153,2.0048,1.262757576,1.295355828,1.268715631,1.933333333,2.621212121,2.711656442,2.706214689,85,85,85,85,1,1,0.944785276,0.983050847,38.81646949,59.66012119,64.75064226,72.39329748,25,108,104,96,81,0.666666667,0.666666667,0.714285714,0.333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,10,0.75
0.090909091,0,0,2.454545455,0,2.272727273,38.36363636,3.818181818,16.90909091,4.727272727,0,0.818181818,17.27272727,1,8.909090909,0.363636364,0.181818182,0,43.09090909,3.818181818,17.72727273,49.31212121,3.689393939,28.38030303,102.8114398,8.693186735,49.61483419,51.80044291,45.04758764,37.7725305,0.1,0,0,2.7,0,2.5,40.5,3.5,18.6,5.2,0,0.9,18.1,0.9,9.8,0.3,0.2,0,45.7,3.5,19.5,52.51833333,3.001666667,31.21833333,108.2460315,6.996078777,54.57631761,51.98048721,44.25822876,37.57142857,0,0,0,1.8,0,2.2,27.2,0,19.4,10.4,0,1.8,15.6,0,9.8,0,0,0,37.6,0,21.2,44.52666667,0,32.91333333,94.20681993,0,60.2774577,51.16243961,43.61251792,44.11764706,0,0,0,0,0,0,10,0,6,0,0,0,6,0,4,0,0,0,10,0,6,13,0,7.016666667,25.28257863,0,14.3328977,66.66666667,60,43.75,11,18,18,18,9,86,36.91836735,9,92,43.99563319,9,92,43.59493671,4.984875,1.119238095,0.863825328,1.008371308,6.765125,2.882697279,3.228791849,3.615476793,6.6875,6.227891156,5.988355167,6.00281294,85,85,85,85,1,1,0.998544396,0.997655884,21.2038344,31.96441784,33.95391225,33.51550444,23,82,78,70,55,0.366666667,0.666666667,0.714285714,0.333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11,7.56
0,0.173913043,0,0.043478261,1.043478261,0,0.52173913,36.43478261,1.173913043,2.869565217,8.869565217,0,1.086956522,19.91304348,0.304347826,0.043478261,1.304347826,0.043478261,3.391304348,45.30434783,1.173913043,4.304347826,62.41304348,0.456521739,8.385385276,107.5196736,1.053563674,48.95330113,44.65412016,45.49360633,0,0.230769231,0,0,0.846153846,0,0.076923077,38.69230769,2.076923077,0.923076923,7.769230769,0,0.230769231,20.69230769,0.538461538,0,1.307692308,0.076923077,1,46.46153846,2.076923077,1,66.23076923,0.807692308,3.403646812,118.2049575,1.863997269,48.14814815,41.58653846,44.82438162,0,0.2,0,0,0.4,0,0.2,39.2,5.4,0,10.2,0,0,21.4,1.4,0,1.8,0.2,0.2,49.4,5.4,0,64.8,2.1,0.557859483,125.2062703,4.8463929,43.73063973,35.74468085,43.64155027,0,0,0,0,0.5,0,0,38,13.5,0,0,0,0,16.5,3.5,0,1,0.5,0,38,13.5,0,47.25,5.25,0,89.75894305,12.11598225,36.49237473,44.27400468,42.94871795,23,42,90,68.86407767,26,98,56.05454545,25,98,48.22826087,25,98,53.06800349,0,0.138098182,0.35642236,0.48692415,4.78268932,6.283781818,6.307209627,6.375413252,3.699029126,3.545454545,3.552795031,3.612031386,83.30097087,84.36363636,84.72826087,46.4921466,0,0,0.006728778,0.039523394,45.64420525,41.94149051,46.1080179,50.70912632,23,186,182,174,159,0.766666667,0.866666667,0.714285714,0.666666667,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,12,11.02
0.083333333,0.25,0,0.25,0.083333333,0.083333333,6.083333333,14.58333333,2.916666667,0,0.666666667,0,3.25,7.083333333,1.166666667,0.166666667,0.166666667,0.083333333,6.083333333,15.25,2.916666667,6.083333333,11.91666667,2.25,8.151879033,22.36626268,7.446375472,46.79118774,55.17429194,47.97147559,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0.333333333,0,0,0,1,0,2,2,0,1.166666667,2.161864172,0,15.36608008,38.88888889,82.29166667,47.22222222,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,6,0,0,3.5,0,0,46.09824023,16.66666667,44.68085106,44.11764706,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,6,0,0,3.5,0,0,46.09824023,16.66666667,44.27400468,43.75,12,66,74,72.5,66,74,72.5,66,87,76,46,91,63.60824742,0,0,0,0.026061856,0.933,0.933,2.149666667,2.487453608,5.333333333,5.333333333,5.111111111,3.443298969,85,85,85,85,0,0,0,0,8.460192798,8.460192798,22.25018487,82.90636187,19,53,49,41,26,0.4,0.2,0.142857143,0.333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,13,1.27
0,0,0,3,0,0,0,0,0,7.5,0,0,3.5,0,0,0,0,0,7.5,0,0,5.5,0,0,8.477499317,0,0,50,50,49.09090909,0,0,0,3,0,0,0,0,0,7.5,0,0,3.5,0,0,0,0,0,7.5,0,0,5.5,0,0,8.477499317,0,0,50,50,47.22222222,0,0,0,2,0,0,0,0,0,5,0,0,3,0,0,0,0,0,5,0,0,4,0,0,5.09487,0,0,48.18181818,60,44.11764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,90,91,90.8,75,91,81.06666667,75,91,81.06666667,,0,0.398733333,0.398733333,,1.0632,2.836533333,2.836533333,,4.2,4.466666667,4.466666667,,85,85,85,,1,1,1,,94.21241366,74.31436754,74.31436754,23,31,27,19,4,0.066666667,0.133333333,0.142857143,,1,1,0,0,1,1,0,0,1,0,0,0,,,,,14,0
0.4,0.2,0,0.8,0.6,0,5.4,7.2,0,4.8,0,0,3.2,2.4,0,0.4,0.4,0,10.2,7.2,0,9.763333333,6.906666667,0,13.81455624,9.634893067,0,50,37.43650794,45.93939394,1,0,0,1,0,0,0,0,0,24,0,0,5,0,0,0,0,0,24,0,0,17.78333333,0,0,24.10122507,0,0,50,20.83333333,47.22222222,1,0,0,1,0,0,0,0,0,24,0,0,5,0,0,0,0,0,24,0,0,17.78333333,0,0,24.10122507,0,0,48.18181818,20.83333333,44.11764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,83,90,86.66666667,83,90,86.66666667,21,90,50.27586207,,0,0,0.039942529,,1.771083333,1.771083333,3.613827586,,4,4,3.356321839,,85,85,85,,1,1,0.977011494,,58.50325019,58.50325019,57.82651789,23,31,27,19,4,0.166666667,0.066666667,0.142857143,,1,1,0,0,1,0,0,0,1,0,0,0,,,,,15,4.91
0,0,0,2,0,0,0,0,0,5,0,0,4,0,0,0,0,0,5,0,0,4.5,0,0,9.765410717,0,0,50,80,49.09090909,0,0,0,2,0,0,0,0,0,5,0,0,4,0,0,0,0,0,5,0,0,4.5,0,0,9.765410717,0,0,50,80,47.22222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,32,43,38.2,32,43,38.2,,,0,0,,,12.098,12.098,,,5,5,,,85,85,,,1,1,,,49.15307855,49.15307855,25,99,95,87,72,0.033333333,0.066666667,,,1,0,0,0,1,0,0,0,,,,,,,,,16,0
0,0,0,0,0.5,0,8,0,0,0,13,0,1.5,1,0,0,0,0,8,13,0,4.5,10.34166667,0,9.783649233,15.43420338,0,50,33.9781746,28.39160839,0,0,0,0,0.5,0,8,0,0,0,13,0,1.5,1,0,0,0,0,8,13,0,4.5,10.34166667,0,9.783649233,15.43420338,0,50,32.8125,27.45726496,0,0,0,0,0.5,0,8,0,0,0,13,0,1.5,1,0,0,0,0,8,13,0,4.5,10.34166667,0,9.783649233,15.43420338,0,48.18181818,31.71542553,25.90497738,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,16,0,0,9,0,0,19.56729847,0,0,47.05882353,18.75,43.75,2,84,89,87.0625,34,89,56.42857143,34,89,56.42857143,34,89,56.42857143,0,0,0,0,1.55925,1.714357143,1.714357143,1.714357143,3.1875,2.69047619,2.69047619,2.69047619,-92.58333333,17.34920635,17.34920635,17.34920635,1,1,1,1,33.72974563,42.23198605,42.23198605,42.23198605,25,99,95,87,72,0.066666667,0.133333333,0.285714286,0.333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,17,0.11
0.2,0.1,0.133333333,0.266666667,0.433333333,0.466666667,42.3,70.1,26.36666667,15.63333333,21.53333333,9.3,23.16666667,39.23333333,17.96666667,0.866666667,1.2,0.433333333,57.93333333,91.63333333,35.66666667,64.9,86.6,61.46666667,120.4642589,154.3852385,96.84658914,52.79663116,40.22449835,46.10447513,0.133333333,0.2,0,0.266666667,0.466666667,0.4,44.06666667,58.6,24.4,9.666666667,16.66666667,8.333333333,21.13333333,29.93333333,15.66666667,0.733333333,0.6,0.2,53.73333333,75.26666667,32.73333333,60.56666667,77.43333333,58.4,116.3249218,139.7632914,90.37857843,50.89997355,39.31607959,43.05772595,0.285714286,0.428571429,0,0.142857143,0.142857143,0.714285714,41.85714286,45.42857143,22.57142857,12.85714286,26.85714286,6.142857143,21.85714286,25.71428571,13.28571429,0.571428571,0.428571429,0.285714286,54.71428571,72.28571429,28.71428571,64.14285714,67.35714286,59.71428571,125.4505524,135.9370884,89.97473154,47.29578837,40.96381843,38.79342042,0.333333333,0,0,0,0.333333333,1.333333333,34.33333333,40,19.66666667,20,36,4,21.33333333,23.33333333,11.33333333,0.333333333,0,0,54.33333333,76,23.66666667,50.5,48,66.66666667,114.1623967,126.5351228,89.64853674,49.08730159,40.03040354,35.90123457,30,28,97,68.67965368,10,97,60.04587156,10,97,53.90354493,9,97,45.86215584,0.10328355,0.068289908,0.113265045,0.211980205,4.991080087,4.588088073,4.022752679,3.836186611,3.703463203,3.295412844,3.138499588,3.036350549,-92.24062049,9.807009489,51.23292096,70.25123079,0.988095238,0.993577982,0.993610882,0.957980925,41.68356104,44.64255573,49.42811379,54.80176074,25,99,95,87,72,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,18,37.78
0.076923077,0.076923077,0.038461538,3.5,5.307692308,2.307692308,34.03846154,47.84615385,12.26923077,13.03846154,3.615384615,6.692307692,23.57692308,27.15384615,9.153846154,6.5,8.230769231,2.038461538,47.07692308,51.46153846,18.96153846,61.80769231,70.26923077,25.48076923,84.93942591,95.24858764,37.45297177,49.92324111,51.73274689,51.15736107,0.083333333,0,0.083333333,2.5,4.5,1.5,37.25,54.41666667,13.08333333,6.416666667,0,5.25,23.25,28.08333333,9.166666667,4.583333333,8.25,1.75,43.66666667,54.41666667,18.33333333,61.29166667,72.33333333,25.375,80.27954174,95.15435504,37.1113311,48.76104798,54.02345687,49.58520223,0,0,0.2,3.8,2.4,1.6,41.8,41.8,18,0,0,3.8,21.8,21.2,11.2,5.4,5.8,1.8,41.8,41.8,21.8,60.3,49.2,30.1,78.7287704,65.66536471,43.64166957,49.93939394,53.68855117,46.92137274,0,0,0,0,1,0,63,28,33,0,0,0,30,9,17,4,4,2,63,28,33,84.5,19.5,56.5,110.5965041,34.11376377,79.30403255,51.51515152,47.61904762,32.14285714,26,13,55,34.27419355,10,97,36.73814042,10,97,34.40944882,9,99,35.37119476,0,0,0.002012169,0.001572831,5.346903226,8.021931689,7.900208304,8.34372275,4.524193548,4.485768501,4.714387974,4.563666121,85,85,84.93450251,84.86202946,1,0.996204934,0.988904796,0.947354064,74.19169208,83.07460394,82.5824234,82.46378766,30,198,194,186,171,0.866666667,0.8,0.714285714,0.333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,19,19.77
